"","X","Stay.at.Home.Order","Mandatory.Quarantine.for.Travelers","Non.Essential.Business.Closures","Large.Gatherings.Ban","School.Closures","Restaurant.Limits","Primary.Election.Postponement","Version","Face.Covering.Requirement"
"1848","Mississippi","","","","",NA,"rollback",NA,"2020_05_07",NA
"1849","Missouri","rollback","","rollback","",NA,"rollback",NA,"2020_05_04",NA
"1850","Missouri","","","","rollback",NA,"",NA,"2020_04_24",NA
"1851","Montana","","rollback","","rollback",NA,"",NA,"2020_06_01",NA
"1852","Montana","rollback","","","",NA,"",NA,"2020_04_26",NA
"1853","Montana","","","rollback","",NA,"",NA,"2020_04_27",NA
"1854","Montana","","","","",NA,"rollback",NA,"2020_05_04",NA
"1855","Nebraska","rollback","rollback","","rollback",NA,"",NA,"2020_06_01",NA
"1856","Nebraska","","","","",NA,"rollback",NA,"2020_05_04",NA
"1857","Nevada","rollback","","","rollback",NA,"",NA,"2020_05_29",NA
"1858","Nevada","","","rollback","",NA,"rollback",NA,"2020_05_09",NA
"1859","New Hampshire","rollback","","","",NA,"",NA,"2020_06_15",NA
"1860","New Hampshire","","","rollback","",NA,"",NA,"2020_05_11",NA
"1861","New Hampshire","","","","",NA,"rollback",NA,"2020_05_18",NA
"1862","New Jersey","rollback","","","",NA,"",NA,"2020_06_09",NA
"1863","New Jersey","","","rollback","",NA,"",NA,"2020_05_18",NA
"1864","New Jersey","","","","rollback",NA,"",NA,"2020_05_13",NA
"1865","New Jersey","","","","",NA,"rollback",NA,"2020_06_15",NA
"1866","New Mexico","","","rollback","rollback",NA,"",NA,"2020_05_15",NA
"1867","New Mexico","rollback","","","",NA,"",NA,"2020_05_22",NA
"1868","New Mexico","","","","",NA,"rollback",NA,"2020_05_27",NA
"1869","New York","rollback","","","",NA,"",NA,"2020_06_27",NA
"1870","New York","","","rollback","",NA,"",NA,"2020_05_14",NA
"1871","New York","","","","rollback",NA,"",NA,"2020_05_22",NA
"1872","New York","","","","",NA,"rollback",NA,"2020_06_22",NA
"1873","North Carolina","rollback","","","",NA,"rollback",NA,"2020_05_22",NA
"1874","North Carolina","","","rollback","",NA,"",NA,"2020_05_08",NA
"1875","North Dakota","","","rollback","",NA,"rollback",NA,"2020_05_01",NA
"1876","Ohio","rollback","rollback","","",NA,"",NA,"2020_05_20",NA
"1877","Ohio","","","rollback","",NA,"",NA,"2020_05_04",NA
"1878","Ohio","","","","rollback",NA,"",NA,"2020_05_29",NA
"1879","Ohio","","","","",NA,"rollback",NA,"2020_05_15",NA
"1880","Oklahoma","","","rollback","rollback",NA,"",NA,"2020_04_24",NA
"1881","Oklahoma","rollback","","","",NA,"",NA,"2020_05_12",NA
"1882","Oklahoma","","","","",NA,"rollback",NA,"2020_05_01",NA
"1883","Oregon","","","rollback","rollback",NA,"rollback",NA,"2020_05_15",NA
"1884","Pennsylvania","rollback","","rollback","rollback",NA,"",NA,"2020_05_08",NA
"1885","Pennsylvania","","","","",NA,"rollback",NA,"2020_05_29",NA
"1886","Rhode Island","rollback","","rollback","",NA,"",NA,"2020_05_09",NA
"1887","Rhode Island","","","","rollback",NA,"",NA,"2020_06_01",NA
"1888","Rhode Island","","","","",NA,"rollback",NA,"2020_05_30",NA
"1889","South Carolina","rollback","rollback","","",NA,"rollback",NA,"2020_05_04",NA
"1890","South Carolina","","","rollback","",NA,"",NA,"2020_04_20",NA
"1891","South Dakota","","","","rollback",NA,"",NA,"2020_04_28",NA
"1892","Tennessee","rollback","","rollback","",NA,"",NA,"2020_04_29",NA
"1893","Tennessee","","","","rollback",NA,"",NA,"2020_05_22",NA
"1894","Tennessee","","","","",NA,"rollback",NA,"2020_04_27",NA
"1895","Texas","","","rollback","rollback",NA,"rollback",NA,"2020_05_01",NA
"1896","Texas","rollback","","","",NA,"",NA,"2020_04_30",NA
"1897","Texas","","rollback","","",NA,"",NA,"2020_05_21",NA
"1898","Utah","rollback","rollback","","rollback",NA,"rollback",NA,"2020_05_01",NA
"1899","Vermont","rollback","","","",NA,"",NA,"2020_05_15",NA
"1900","Vermont","","rollback","","",NA,"",NA,"2020_06_08",NA
"1901","Vermont","","","rollback","",NA,"",NA,"2020_04_20",NA
"1902","Vermont","","","","rollback",NA,"",NA,"2020_06_01",NA
"1903","Vermont","","","","",NA,"rollback",NA,"2020_05_22",NA
"1904","Virginia","","","rollback","",NA,"rollback",NA,"2020_05_15",NA
"1905","Virginia","rollback","","","",NA,"",NA,"2020_06_04",NA
"1906","Virginia","","","","rollback",NA,"",NA,"2020_06_05",NA
"1907","Washington","rollback","","","",NA,"",NA,"2020_05_31",NA
"1908","Washington","","","rollback","",NA,"",NA,"2020_05_14",NA
"1909","Washington","","","","",NA,"rollback",NA,"2020_05_11",NA
"1910","West Virginia","rollback","","rollback","rollback",NA,"rollback",NA,"2020_05_04",NA
"1911","West Virginia","","rollback","","",NA,"",NA,"2020_05_21",NA
"1912","Wisconsin","rollback","","","rollback",NA,"rollback",NA,"2020_05_13",NA
"1913","Wisconsin","","","rollback","",NA,"",NA,"2020_05_11",NA
"1914","Wyoming","","","","rollback",NA,"rollback",NA,"2020_05_15",NA
"1915","Wyoming","","rollback","","",NA,"",NA,"2020_05_08",NA
