"","X","Province_State","Last_Update","Confirmed","Deaths","Recovered","Active","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","Testing_Rate","Hospitalization_Rate"
"9213",9213,"Montana","9/18/2020 5:10",9647,143,7401,2103,902.6196273,295299,NA,1.482326112,27629.59193,NA
"9214",9214,"Nebraska","9/18/2020 5:10",39921,442,29966,9513,2063.73216,412851,NA,1.107186694,21342.49858,NA
"9215",9215,"Nevada","9/18/2020 5:10",74595,1506,1997,71092,2421.792922,652583,NA,2.018902071,21186.68665,NA
"9216",9216,"New Hampshire","9/18/2020 5:10",7781,438,7104,239,572.2539569,235510,NA,5.629096517,17320.59239,NA
"9217",9217,"New Jersey","9/18/2020 5:10",198361,16057,34546,147758,2233.244279,3265818,NA,8.094837191,36768.16191,NA
"9218",9218,"New Mexico","9/18/2020 5:10",27199,836,14842,11521,1297.149171,837400,NA,3.073642413,39936.49458,NA
"9219",9219,"New York","9/18/2020 5:10",447262,33070,75962,338230,2299.126623,9621920,NA,7.39387652,49460.97015,NA
"9220",9220,"North Carolina","9/18/2020 5:10",189576,3180,167257,19139,1807.537011,2714175,NA,1.677427522,25878.65429,NA
"9221",9221,"North Dakota","9/18/2020 5:10",16723,182,13828,2713,2194.440872,540625,NA,1.088321473,70942.39051,NA
"9222",9222,"Northern Mariana Islands","9/18/2020 5:10",62,2,29,31,112.4329029,14378,NA,3.225806452,26073.55288,NA
"9223",9223,"Ohio","9/18/2020 5:10",141585,4580,119690,17315,1211.256641,2718333,NA,3.234805947,23255.28056,NA
"9224",9224,"Oklahoma","9/18/2020 5:10",73318,930,62144,10244,1852.881914,1039837,NA,1.268447039,26278.61058,NA
"9225",9225,"Oregon","9/18/2020 5:10",30060,521,5376,24163,712.7044669,625424,NA,1.733200266,14828.42576,NA
"9226",9226,"Pennsylvania","9/18/2020 5:10",152775,7893,121296,23586,1193.369249,1869198,NA,5.166421208,14600.84054,NA
